（親）ASIN,（子）ASIN,タイトル,セッション数 - 合計,セッション数 - 合計 - B2B,セッション率 - 合計,セッション率 - 合計 - B2B,ページビュー - 合計,ページビュー - 合計 - B2B,ページビュー率 - 合計,ページビュー率 - 合計 - B2B,おすすめ出品（おすすめ商品）の獲得率,おすすめ出品（おすすめ商品）の獲得率 - B2B,注文された商品点数,注文点数 - B2B,ユニットセッション率,ユニットセッション率 - B2B,注文商品の売上額,注文商品の売上額 - B2B,注文品目総数,注文品目総数 - B2B
B0FLXCRNJZ,B0FLXBR4ZS,"[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間メイク 背中すっきり 快適フィット 盛れる 黒 ベージュ 透けない(ブラック, 36/80)",778,7,0.56%,0.52%,986,7,0.52%,0.39%,100.00%,100.00%,73,0,9.38%,0.00%,"￥129,980",￥0,59,0
B0FLXCRNJZ,B0FLXB89TJ,"[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間メイク 背中すっきり 快適フィット 盛れる 黒 ベージュ 透けない (アッシュブルー, 36/80)",541,2,0.39%,0.15%,728,2,0.38%,0.11%,99.55%,100.00%,59,0,10.91%,0.00%,"￥102,914",￥0,58,0
B0FLTG77WW,B0FLTFV6N2,"[&mellow] 温活ショーツ 5枚セット 綿ショーツ ハイウエスト レディース 深履き 深め 黒 パンツ 下着 冷え対策 インナー お腹すっぽり 綿混 大きいサイズ 快適 蒸れにくい コットンショーツ セット通気性 (JP, アルファベット, L, タイプ1)","1,544",8,1.12%,0.59%,"2,043",10,1.08%,0.56%,99.95%,100.00%,58,0,3.76%,0.00%,"￥107,084",￥0,56,0
B0FSZR223X,B0FSZNDF5S, ,"2,348",28,1.70%,2.07%,"3,195",40,1.69%,2.23%,99.42%,100.00%,56,0,2.39%,0.00%,"￥117,220",￥0,56,0
B0FTZ9MNZ3,B0FTZ5979D,"[&mellow] カップ付きインナー ブラトップ アンダーゴムなし カップ付きタンクトップ レディース シームレスブラ アンダーゴムフリー 速乾 ストレッチ素材 インナー ノンワイヤー 大きいサイズ シームレス 防寒 保温 ノンワイヤーブラジャー (JP, アルファベット, L, ブラック)",432,5,0.31%,0.37%,571,6,0.30%,0.33%,99.43%,75.00%,68,0,15.74%,0.00%,"￥110,856",￥0,56,0
B0FLTG77WW,B0FLTZXDQJ,"[&mellow] 温活ショーツ 5枚セット 綿ショーツ ハイウエスト レディース 深履き 深め 黒 パンツ 下着 冷え対策 インナー お腹すっぽり 綿混 大きいサイズ 快適 蒸れにくい コットンショーツ セット通気性 (JP, アルファベット, XL, タイプ5)","1,453",6,1.05%,0.44%,"1,966",11,1.04%,0.61%,100.00%,100.00%,53,1,3.65%,16.67%,"￥97,494","￥1,898",53,1
B0FTZ9MNZ3,B0FTZ812H4,"[&mellow] カップ付きインナー ブラトップ アンダーゴムなし カップ付きタンクトップ レディース シームレスブラ アンダーゴムフリー 速乾 ストレッチ素材 インナー ノンワイヤー 大きいサイズ シームレス 防寒 保温 ノンワイヤーブラジャー (JP, アルファベット, L, モカ)",720,7,0.52%,0.52%,953,9,0.50%,0.50%,99.65%,100.00%,62,0,8.61%,0.00%,"￥101,752",￥0,53,0
B0G3WG3JML,B0G3WC47J4,"[&mellow] 開運 赤いパンツ 2枚セット レディース シームレス ショーツ クロッチ綿100% ハイウエスト 還暦 大きいサイズ 深履き｜健康運・金運アップ 冷え対策・還暦祝いにも｜M/L/XL/2XL (JP, アルファベット, XL, レッド)","1,298",16,0.94%,1.19%,"1,768",21,0.93%,1.17%,99.19%,100.00%,58,0,4.47%,0.00%,"￥57,940",￥0,52,0
B0FTZ9MNZ3,B0FTZ5HM4N,"[&mellow] カップ付きインナー タンクトップ レディース アンダーゴムなし シームレスブラ 速乾 ストレッチ素材 インナー ノンワイヤー 大きいサイズ モカ ベージュ ブラック M〜3L (JP, アルファベット, L, ベージュ)",775,8,0.56%,0.59%,"1,118",8,0.59%,0.45%,99.80%,100.00%,61,0,7.87%,0.00%,"￥100,430",￥0,51,0
B0FLTG77WW,B0FLT5T6QY,"[&mellow] 温活ショーツ 5枚セット 綿ショーツ ハイウエスト レディース 深履き 深め 黒 パンツ 下着 冷え対策 インナー お腹すっぽり 綿混 大きいサイズ 快適 蒸れにくい コットンショーツ セット通気性 (JP, アルファベット, L, タイプ5)","1,228",8,0.89%,0.59%,"1,585",9,0.84%,0.50%,99.93%,100.00%,51,0,4.15%,0.00%,"￥93,698",￥0,50,0
