amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
503-1516751-9197451		2026-02-28T13:49:23+09:00	2026-02-28T22:05:38+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		NextDay	[&mellow] 7枚セット シームレスショーツ レディース 深め ハイウエスト 無縫製 深履き 下着 クロッチ綿100％ シームレスパンツ シームレス 深め 吸汗速乾 通気性 食い込みにくい 大きいサイズ M L LL 3L 黒 インナー (JP, アルファベット, XL, 7色アソート)	30827-C-01	B0FSZNDF5S	Shipped	1	JPY	2190.0	199.0								愛知県	494-0001	JP	
249-5564756-1367813	249-5564756-1367813	2026-02-28T13:21:06+09:00	2026-03-01T00:08:12+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] 開運 赤いパンツ 2枚セット レディース 綿混 ハイウエスト 綿ショーツ 温活 深履き 深め ショーツ 大き 	30815R-E-01	B0FM3GZKGK	Shipped	1	JPY	1000.0	91.0								神奈川県	251-0038	JP	
503-6709394-8823019	503-6709394-8823019	2026-02-28T13:20:56+09:00	2026-02-28T22:07:21+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間 	30902-A-02	B0FLXCXYPJ	Shipped	1	JPY	1798.0	163.0	66.0	6.0				66.0		Aichi-ken	444-1302	JP	
249-9940718-8769406	249-9940718-8769406	2026-02-28T13:13:43+09:00	2026-03-01T18:15:46+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] 開運 赤いパンツ 2枚セット レディース 綿混 ハイウエスト 綿ショーツ 温活 深履き 深め ショーツ 大き 	30815R-A-01	B0FM3JKLJ3	Shipped	3	JPY	3000.0	273.0	200.0	18.0				200.0		福井県	916-0141	JP	
249-5191636-5627809	249-5191636-5627809	2026-02-28T10:00:49+09:00	2026-03-03T00:54:02+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] レディース 赤いパンツ 2枚セット 綿 ハイウエスト レース付き M/L/XL/2XL/3XL 大きいサイズ 運気アップ イ 	30817R-D-01	B0FM3MLC1J	Shipped	1	JPY	1298.0	118.0								千葉県	274-0801	JP	
250-6941608-5016665		2026-02-28T09:31:57+09:00	2026-02-28T09:52:10+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		NextDay	[&mellow] カップ付きインナー ブラトップ アンダーゴムなし カップ付きタンクトップ レディース シームレスブラ アンダーゴムフリー 速乾 ストレッチ素材 インナー ノンワイヤー 大きいサイズ シームレス 防寒 保温 ノンワイヤーブラジャー(JP, アルファベット, 2XL, ベージュ)	30713-D-03	B0FTZ72STB	Shipped	1	JPY	1698.0	154.0								神奈川県	254-0902	JP	
249-8940172-8557444	249-8940172-8557444	2026-02-28T09:20:38+09:00	2026-03-02T02:18:58+09:00	Shipped	Amazon	Amazon.co.jp			Standard	[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間 	30902-C-02	B0FLXD346X	Shipped	1	JPY	1798.0	163.0	230.0	21.0				230.0		大阪府	555-0012	JP	
249-8940172-8557444	249-8940172-8557444	2026-02-28T09:20:38+09:00	2026-03-02T02:18:58+09:00	Shipped	Amazon	Amazon.co.jp			Standard	[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間 	30902-C-01	B0FLXB6TKD	Shipped	1	JPY	1798.0	164.0	230.0	21.0				230.0		大阪府	555-0012	JP	
249-7963964-5716668	249-7963964-5716668	2026-02-28T08:40:21+09:00	2026-02-28T17:02:53+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] 開運 赤いパンツ 2枚セット レディース 綿混 ハイウエスト 綿ショーツ 温活 深履き 深め ショーツ 大き 	30815R-B-01	B0FM3H1Y97	Shipped	1	JPY	1000.0	91.0								岩手県	028-1101	JP	
503-8184296-7371020		2026-02-28T07:21:57+09:00	2026-03-01T06:08:00+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		NextDay	[&mellow] カップ付きインナー ブラトップ アンダーゴムなし カップ付きタンクトップ レディース シームレスブラ アンダーゴムフリー 速乾 ストレッチ素材 インナー ノンワイヤー 大きいサイズ シームレス 防寒 保温 ノンワイヤーブラジャー (JP, アルファベット, M, ベージュ)	30713-A-03	B0FTZ5VMR8	Shipped	1	JPY	1698.0	154.0								岡山県	700-0941	JP	
503-0004054-0083063	503-0004054-0083063	2026-02-28T02:21:51+09:00	2026-02-28T05:54:53+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] 開運 赤いパンツ 2枚セット レディース 綿混 ハイウエスト 綿ショーツ 温活 深履き 深め ショーツ 大き 	30815R-C-01	B0FM3G5QMY	Shipped	2	JPY	2000.0	182.0								東京都	193-0942	JP	
503-5186988-1622257	503-5186988-1622257	2026-02-28T01:34:03+09:00	2026-03-01T12:12:24+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] 開運 赤いパンツ 2枚セット レディース 綿混 ハイウエスト 綿ショーツ 温活 深履き 深め ショーツ 大き 	30815R-B-01	B0FM3H1Y97	Shipped	1	JPY	1000.0	91.0								岩手県	025-0072	JP	
249-7823931-5415043	249-7823931-5415043	2026-02-28T01:31:19+09:00	2026-03-01T16:41:47+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] レディース 赤いパンツ 2枚セット 綿 ハイウエスト レース付き 大きいサイズ 運気アップ 開運 パンツ イ	30817R-E-01	B0FM3FW7KV	Shipped	1	JPY	1298.0	118.0								山口県	751-0864	JP	
250-8844966-5143006	250-8844966-5143006	2026-02-28T00:29:24+09:00	2026-02-28T05:31:15+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] 開運 赤いパンツ 2枚セット レディース 綿混 ハイウエスト 綿ショーツ 温活 深履き 深め ショーツ 大き 	30815R-E-01	B0FM3GZKGK	Shipped	2	JPY	2000.0	182.0								埼玉県	344-0023	JP	
