※この情報は店舗様および楽天市場での重要な情報となります。データの取扱には十分にご注意ください。

データ対象期間,2025/10/01 ～ 2025/10/31
カタログID,商品管理番号,商品番号,商品名,SKU管理番号,システム連携用SKU番号,"SKU項目1","SKU項目2","SKU項目3","SKU項目4","SKU項目5","SKU項目6",売上金額,売上件数,売上個数
"","30817","","＼レース ハイウエストショーツ／【綿 レースショーツ】綿ショーツ 深ばき レースレディース 深め 綿パンツ レース レディース ハイウエスト 大きいサイズ 深履き 単品ショーツ お腹すっぽり 温活ショーツ LL3L4L 黒 クロッチ綿100％ 補正ショーツ 下着 骨盤 女性用 送料無料","30817-D-05","","【E】","3L","","","","",1590,1,1
"","30817","","＼レース ハイウエストショーツ／【綿 レースショーツ】綿ショーツ 深ばき レースレディース 深め 綿パンツ レース レディース ハイウエスト 大きいサイズ 深履き 単品ショーツ お腹すっぽり 温活ショーツ LL3L4L 黒 クロッチ綿100％ 補正ショーツ 下着 骨盤 女性用 送料無料","30817-E-01","","【Ａ】","4L","","","","",1590,1,1
"","30817","","＼レース ハイウエストショーツ／【綿 レースショーツ】綿ショーツ 深ばき レースレディース 深め 綿パンツ レース レディース ハイウエスト 大きいサイズ 深履き 単品ショーツ お腹すっぽり 温活ショーツ LL3L4L 黒 クロッチ綿100％ 補正ショーツ 下着 骨盤 女性用 送料無料","30817-E-03","","【C】","4L","","","","",1798,1,1
"","30817r","","【2枚セット◆赤いパンツ】赤パンツ 開運 還暦祝い 女性 赤 ショーツ 綿パンツ 綿ショーツ ハイウエストショーツ 女性 下着 クロッチ綿100％ レディース 大きいサイズ 60歳 新年 深履き 深め 縁起 ギフト 母の日 プレゼント 幸運 赤いショーツ 申年","30817r-A-01","","レッド（2枚セット）","M","","","","",2780,2,2
"","30817r","","【2枚セット◆赤いパンツ】赤パンツ 開運 還暦祝い 女性 赤 ショーツ 綿パンツ 綿ショーツ ハイウエストショーツ 女性 下着 クロッチ綿100％ レディース 大きいサイズ 60歳 新年 深履き 深め 縁起 ギフト 母の日 プレゼント 幸運 赤いショーツ 申年","30817r-B-01","","レッド（2枚セット）","L","","","","",4270,3,3
"","30817r","","【2枚セット◆赤いパンツ】赤パンツ 開運 還暦祝い 女性 赤 ショーツ 綿パンツ 綿ショーツ ハイウエストショーツ 女性 下着 クロッチ綿100％ レディース 大きいサイズ 60歳 新年 深履き 深め 縁起 ギフト 母の日 プレゼント 幸運 赤いショーツ 申年","30817r-C-01","","レッド（2枚セット）","LL","","","","",5560,3,4
"","30817r","","【2枚セット◆赤いパンツ】赤パンツ 開運 還暦祝い 女性 赤 ショーツ 綿パンツ 綿ショーツ ハイウエストショーツ 女性 下着 クロッチ綿100％ レディース 大きいサイズ 60歳 新年 深履き 深め 縁起 ギフト 母の日 プレゼント 幸運 赤いショーツ 申年","30817r-E-01","","レッド（2枚セット）","4L","","","","",4286,2,3
"","30819","","【綿ショーツ 5枚セット】シームレス レディース クロッチ綿100％ 締め付けない 深め 綿パンツ 食い込まない 大きいサイズ 鼠径部 3L4L 温活ショーツ 下着 防寒  ハイウエストショーツ 深ばき お腹 黒 女性用 冷え対策 補正ショーツ 送料無料","30819-A-02","","【Ｂ】","M","","","","",1590,1,1
"","30819","","【綿ショーツ 5枚セット】シームレス レディース クロッチ綿100％ 締め付けない 深め 綿パンツ 食い込まない 大きいサイズ 鼠径部 3L4L 温活ショーツ 下着 防寒  ハイウエストショーツ 深ばき お腹 黒 女性用 冷え対策 補正ショーツ 送料無料","30819-A-03","","【Ｃ】","M","","","","",1590,1,1
"","30819","","【綿ショーツ 5枚セット】シームレス レディース クロッチ綿100％ 締め付けない 深め 綿パンツ 食い込まない 大きいサイズ 鼠径部 3L4L 温活ショーツ 下着 防寒  ハイウエストショーツ 深ばき お腹 黒 女性用 冷え対策 補正ショーツ 送料無料","30819-B-02","","【Ｂ】","L","","","","",1590,1,1
"","30819","","【綿ショーツ 5枚セット】シームレス レディース クロッチ綿100％ 締め付けない 深め 綿パンツ 食い込まない 大きいサイズ 鼠径部 3L4L 温活ショーツ 下着 防寒  ハイウエストショーツ 深ばき お腹 黒 女性用 冷え対策 補正ショーツ 送料無料","30819-B-03","","【Ｃ】","L","","","","",1590,1,1
"","30819","","【綿ショーツ 5枚セット】シームレス レディース クロッチ綿100％ 締め付けない 深め 綿パンツ 食い込まない 大きいサイズ 鼠径部 3L4L 温活ショーツ 下着 防寒  ハイウエストショーツ 深ばき お腹 黒 女性用 冷え対策 補正ショーツ 送料無料","30819-B-05","","【Ｅ】","L","","","","",1590,1,1
"","30819","","【綿ショーツ 5枚セット】シームレス レディース クロッチ綿100％ 締め付けない 深め 綿パンツ 食い込まない 大きいサイズ 鼠径部 3L4L 温活ショーツ 下着 防寒  ハイウエストショーツ 深ばき お腹 黒 女性用 冷え対策 補正ショーツ 送料無料","30819-C-02","","【Ｂ】","LL","","","","",1590,1,1
"","30819","","【綿ショーツ 5枚セット】シームレス レディース クロッチ綿100％ 締め付けない 深め 綿パンツ 食い込まない 大きいサイズ 鼠径部 3L4L 温活ショーツ 下着 防寒  ハイウエストショーツ 深ばき お腹 黒 女性用 冷え対策 補正ショーツ 送料無料","30819-C-04","","【Ｄ】","LL","","","","",1590,1,1
"","30819","","【綿ショーツ 5枚セット】シームレス レディース クロッチ綿100％ 締め付けない 深め 綿パンツ 食い込まない 大きいサイズ 鼠径部 3L4L 温活ショーツ 下着 防寒  ハイウエストショーツ 深ばき お腹 黒 女性用 冷え対策 補正ショーツ 送料無料","30819-D-01","","【Ａ】","3L","","","","",1590,1,1
"","30819","","【綿ショーツ 5枚セット】シームレス レディース クロッチ綿100％ 締め付けない 深め 綿パンツ 食い込まない 大きいサイズ 鼠径部 3L4L 温活ショーツ 下着 防寒  ハイウエストショーツ 深ばき お腹 黒 女性用 冷え対策 補正ショーツ 送料無料","30819-D-04","","【Ｄ】","3L","","","","",4770,2,3
"","30827","","【マラソン限定10%OFFクーポン◆新色】5枚セット★7枚セット シームレスショーツ レディース 深ばき ハイウエスト 深履き 食い込まない ショーツ シームレスパンツ 締め付けない 大きいサイズ 3L クロッチ綿100％ ヨガ ボクサー 下着 女性 セット 送料無料","30827-3-A-02","","3枚セットB","M","","","","",3960,3,4
"","30827","","【マラソン限定10%OFFクーポン◆新色】5枚セット★7枚セット シームレスショーツ レディース 深ばき ハイウエスト 深履き 食い込まない ショーツ シームレスパンツ 締め付けない 大きいサイズ 3L クロッチ綿100％ ヨガ ボクサー 下着 女性 セット 送料無料","30827-3-A-03","","3枚セットC","M","","","","",990,1,1
